id,name,shortName,tla,crest,address,website,founded,clubColors,venue,lastUpdated
769,Mexico,Mexico,MEX,https://crests.football-data.org/769.svg,"Colima #373, Colonia Roma Norte, Del. Cuauhtémoc Ciudad de México 6700",http://www.femexfut.org.mx,1927.0,Green / White / Red,Levi's Stadium,2023-07-31T12:06:04Z
770,England,England,ENG,https://crests.football-data.org/770.svg,"Wembley Stadium, PO Box 1966 London SW1P 9EQ",http://www.thefa.com,1863.0,White / Red / Navy Blue,Wembley Stadium,2021-05-26T09:47:50Z
771,United States,USA,USA,https://crests.football-data.org/usa.svg,"1801 South Prairie Ave Chicago, IL 90266",http://www.ussoccer.com,1913.0,White / Navy Blue / Red,Raymond James Stadium,2022-04-02T10:43:52Z
772,South Korea,Korea Republic,KOR,https://crests.football-data.org/772.png,"1-131 Sinmunno, 2-ga Jongno-Gu Seoul 110-062",http://www.kfa.or.kr,1928.0,Red / White / Blue,,2022-04-02T10:45:25Z
773,France,France,FRA,https://crests.football-data.org/773.svg,87 Boulevard de Grenelle Paris 75738,http://www.fff.fr,1919.0,Blue / White / Red,Stade de France,2021-05-26T09:47:59Z
774,South Africa,South Africa,RSA,https://crests.football-data.org/9396.svg,"76 Nasrec Road Johannesburg, Gauteng 2190",http://www.safa.net,1991.0,Gold / Green / Black,,2021-07-26T12:30:47Z
775,Greece,Greece,GRE,https://crests.football-data.org/775.svg,Goudi Park / PO Box 14161 Athína 11510,http://www.epo.gr,1926.0,Blue / White,Olympiako Stadio Spyros Louis,2021-04-05T07:08:56Z
776,Nigeria,Nigeria,NGA,https://crests.football-data.org/nigeria.svg,Olusegun Obasanjo Way Abuja null,http://www.thenff.com,1945.0,Green / White,,2021-11-19T09:10:58Z
777,Slovenia,Slovenia,SVN,https://crests.football-data.org/777.svg,Brnčičeva 41g / PO Box 3986 Ljubljana 1231,http://www.nzs.si,1920.0,Green / White,Stadion Stožice,2024-05-16T15:42:31Z
778,Algeria,Algeria,ALG,https://crests.football-data.org/algeria.svg,"Chemin Ahmed Ouaked, BP 39 Dely-Ibrahim Alger 16000",http://www.faf.dz,1962.0,White / Green,,2021-11-12T09:28:02Z
